name,address,price,comment
三径茶坊,'茶馆|华阳',人均,条评价
汇品轩茶府,'茶馆|中和',人均,条评价
缘起茶府,'茶馆|航空港',人均,条评价
广汇茶府,'茶馆|华阳',人均,条评价
龍茗飘香,'茶馆|黄龙溪',人均,条评价
三都茶坊,'茶馆|东升镇',人均,条评价
轩语茶府,'茶馆|天府新区',人均,条评价
茗泉居茶楼,'茶馆|航空港',人均,'3'条评价
茗轩茶庄,'茶馆|航空港',人均,条评价
祥和之韵民俗休闲茶楼,'茶馆|华阳',人均,条评价
一壶天下茶,'茶馆|双流机场',人均,条评价
锦镇,'茶馆|东升镇',人均,'2'条评价
家益欣城茗都茶坊,'茶馆|天府新区',人均,'2'条评价
御茗轩茶府,'茶馆|航空港',人均,条评价
阳光茶府(天研路店),'茶馆|天府新区',人均,条评价
雅沐茶坊,'茶馆|华阳',人均,条评价
观澜茶府,'茶馆|华阳',人均,条评价
龙祥茶府,'茶馆|中和',人均,条评价
燕楠茶府,'茶馆|双流区其他',人均,条评价
笑笑茶坊,'茶馆|天府新区',人均,'2'条评价
叶茂贞,'茶馆|天府新区',人均,'5'条评价
满庭家宴,'茶馆|双流区其他',人均,'4'条评价
八马茶业(中海天府环宇坊店),'茶馆|华阳',人均,条评价
蓉和茶楼,'茶馆|中和',人均,条评价
龍逸花园茶府,'茶馆|华阳',人均,'2'条评价
仙踪林茶府,'茶馆|华阳',人均,条评价
翠屿茶坊,'茶馆|华阳',人均,条评价
爱心麻将茶语简餐,'茶馆|华阳',人均,条评价
金桥茶楼,'茶馆|双流机场',人均,条评价
隐庐居茶坊,'茶馆|航空港',人均,条评价
菊梦茶楼,'茶馆|东升镇',人均,条评价
汇华轩茶府,'茶馆|华阳',人均,条评价
龙川大茶楼,'茶馆|东升镇',人均,条评价
茗江茶人,'茶馆|天府新区',人均,'2'条评价
鑫荷轩茶府,'茶馆|东升镇',人均,'3'条评价
水立坊茶楼,'茶馆|东升镇',人均,'2'条评价
陆羽茶室,'茶馆|东升镇',人均,条评价
聚龙阁茶楼,'茶馆|黄龙溪',人均,条评价
小昭茶舍,'茶馆|东升镇',人均,条评价
机麻茶铺,'茶馆|双流机场',人均,条评价
科森茶府,'茶馆|天府新区',人均,'3'条评价
锦绣茶府,'茶馆|双流机场',人均,'2'条评价
瑞福源茶楼,'茶馆|天府新区',人均'￥21','9'条评价
朋园鱼庄,'茶馆|华阳',人均,'5'条评价
南苑茶坊,'茶馆|航空港',人均,条评价
金鑫苑,'茶馆|华阳',人均,条评价
雅集茶阁,'茶馆|华阳',人均,条评价
保水阁茶府,'茶馆|华阳',人均,条评价
鑫鸿居茶楼,'茶馆|天府新区',人均,条评价
聚兴茶坊,'茶馆|益州国际广场',人均,条评价
水云阁茶楼,'茶馆|东升镇',人均,'6'条评价
姐妹茶铺,'茶馆|航空港',人均,条评价
聚友汇茶楼,'茶馆|中和',人均,条评价
御府茶缘(韩国城店),'茶馆|航空港',人均,条评价
八马茶业(天府新区山姆店),'茶馆|华阳',人均,条评价
敏岚茶坊,'茶馆|华阳',人均,条评价
聚鑫茶府,'茶馆|双流区其他',人均,条评价
大闲茶楼,'茶馆|中和',人均,'9'条评价
润怡轩茶舍,'茶馆|华阳',人均,条评价
瓦舍茶馆,'茶馆|华阳',人均,条评价
蜀淮楼茶坊,'茶馆|华阳',人均,条评价
尚品茶府,'茶馆|戛纳湾',人均,条评价
竹涛茶楼,'茶馆|四川现代职业学院',人均,条评价
清水阁茶楼,'茶馆|华阳',人均,条评价
千禧茶楼(文星正街店),'茶馆|四川大学江安校区',人均,条评价
鸿信茶府,'茶馆|华阳',人均,条评价
红秀茶楼,'茶馆|红牌楼',人均,条评价
一方茶水,'茶馆|中和',人均,条评价
老茶馆(协和上街店),'茶馆|天府新区',人均,条评价
智趣园,'茶馆|中和',人均,条评价
地暖茶府,'茶馆|奥特莱斯',人均,条评价
聚友茶楼,'茶馆|四川大学江安校区',人均,条评价
阳光茶楼,'茶馆|华阳',人均,条评价
鑫朋茶楼,'茶馆|东升镇',人均,条评价
棕榈阁茶楼,'茶馆|天府新区',人均,条评价
虹樾茶府,'茶馆|华阳',人均,条评价
玺悦茶坊,'茶馆|东升镇',人均,条评价
双流宽座茶艺,'茶馆|东升镇',人均,条评价
百玉茶庄,'茶馆|双流机场',人均,条评价
骊锦茶府,'茶馆|双流机场',人均,条评价
三弟公寓茶坊,'茶馆|益州国际广场',人均,条评价
百草園茶楼,'茶馆|中和',人均,条评价
鸿运茶楼(双桂南路店),'茶馆|东升镇',人均,条评价
聚福茶坊,'茶馆|川师大菊园一条路',人均,条评价
众和轩茶府,'茶馆|东升镇',人均,条评价
正林茶坊,'茶馆|华阳',人均,条评价
尚御茶府,'茶馆|双流机场',人均,条评价
嘉木阁茶楼,'茶馆|东升镇',人均,'3'条评价
春来茶楼,'茶馆|东升镇',人均,条评价
中和茶府,'茶馆|中和',人均,条评价
匠心川卤茶坊,'茶馆|华阳',人均,条评价
好安逸茶楼,'茶馆|航空港',人均,条评价
开心茶园,'茶馆|双流区其他',人均,条评价
雅鑫茶坊,'茶馆|华阳',人均,条评价
融投茶舍,'茶馆|东升镇',人均,条评价
悠然·兰庭茶府,'茶馆|中和',人均,条评价
清一色茶楼,'茶馆|航空港',人均,条评价
广福茶园,'茶馆|天府新区',人均,条评价
塞纳蔚茶府,'茶馆|东升镇',人均,条评价
蓝天茶府,'茶馆|四川现代职业学院',人均,条评价
御港茶府,'茶馆|东升镇',人均,条评价
姐妹茶坊,'茶馆|益州国际广场',人均,条评价
茶聚汇茶府,'茶馆|华阳',人均,条评价
板桥茶府,'茶馆|东升镇',人均,条评价
贤乐轩,'茶馆|东升镇',人均,条评价
明友茶馆,'茶馆|黄龙溪',人均,条评价
众品茶楼,'茶馆|航空港',人均,条评价
红亭飘香,'茶馆|中和',人均,'6'条评价
常乐茶铺,'茶馆|双流机场',人均,条评价
润雅轩茶坊,'茶馆|华阳',人均,条评价
空港八十八茶楼,'茶馆|双流机场',人均,条评价
望江苑茶府,'茶馆|天府新区',人均,'2'条评价
159号茶府,'茶馆|东升镇',人均,条评价
逸仙园茶府,'茶馆|华阳',人均,条评价
影城茶楼,'茶馆|华阳',人均,条评价
月茗阁茶府,'茶馆|双流区其他',人均,'2'条评价
海茵斯茶坊,'茶馆|天府新区',人均,条评价
中和茶園,'茶馆|中和',人均,'3'条评价
天然居茶府,'茶馆|双流区其他',人均,条评价
港庭茶府,'茶馆|航空港',人均,条评价
钱运茶楼,'茶馆|双流机场',人均,条评价
龍鳯茶楼,'茶馆|华阳',人均,条评价
聚友茶房,'茶馆|城南优品道广场',人均,条评价
蓉城茶府,'茶馆|航空港',人均,条评价
广和生态茶楼,'茶馆|双流机场',人均,条评价
妮格格个人工作室茶室,'茶馆|天府新区',人均,条评价
蜀阳茶坊,'茶馆|华阳',人均,条评价
欧城茶楼,'茶馆|东升镇',人均,条评价
一品茶楼,'茶馆|东升镇',人均,条评价
开心茶坊,'茶馆|华阳',人均,'2'条评价
麓峰茶坊,'茶馆|华阳',人均,条评价
茗悦茶都,'茶馆|华阳',人均,'3'条评价
老地方茶楼,'茶馆|东升镇',人均,条评价
清芷茶舍,'茶馆|东升镇',人均,条评价
三茶路口,'茶馆|东升镇',人均,条评价
芳缘茶楼,'茶馆|东升镇',人均,条评价
嗨喽酒店咖啡茶馆,'茶馆|东升镇',人均,条评价
茗香源茶楼,'茶馆|双流万达',人均,条评价
分享茶府,'茶馆|航空港',人均,条评价
好客茶楼,'茶馆|城南优品道广场',人均,条评价
如意茶坊,'茶馆|天府新区',人均,条评价
楠岸茶坊,'茶馆|东升镇',人均,条评价
皓天茶府,'茶馆|奥特莱斯',人均,'2'条评价
閬苑茶樓,'茶馆|东升镇',人均,条评价
星四合院茶楼,'茶馆|东升镇',人均,条评价
郡和林茶艺馆,'茶馆|东升镇',人均,条评价
凤凰蜀韵紫陶茶艺,'茶馆|华阳',人均,'2'条评价
成都龙舍茶文化传播有限公司,'茶馆|东升镇',人均,条评价
阳光茶楼,'茶馆|蛟龙港/海滨城',人均,条评价
上官茶府,'茶馆|航空港',人均,条评价
白果林茶楼,'茶馆|东升镇',人均,条评价
老地方茶庄饭馆,'茶馆|天府新区',人均,条评价
陽光茶楼(中柏大道店),'茶馆|中和',人均,条评价
同乐茶坊,'茶馆|双流区其他',人均,条评价
港谊茶楼,'茶馆|四川大学江安校区',人均,'3'条评价
南阳茶坊(广都上街店),'茶馆|华阳',人均,条评价
